Date,Category,Amount,Payment_Method,Description
2026-01-01,Healthcare,1670,Credit Card,Expense Record 1
2026-01-02,Entertainment,5927,Cash,Expense Record 2
2026-01-03,Entertainment,1166,Debit Card,Expense Record 3
2026-01-04,Healthcare,5091,Debit Card,Expense Record 4
2026-01-05,Bills,4869,Credit Card,Expense Record 5
2026-01-06,Food,3006,UPI,Expense Record 6
2026-01-07,Food,5713,Debit Card,Expense Record 7
2026-01-08,Food,696,Debit Card,Expense Record 8
2026-01-09,Food,5601,Debit Card,Expense Record 9
2026-01-10,Food,408,Cash,Expense Record 10
2026-01-11,Food,1301,Debit Card,Expense Record 11
2026-01-12,Shopping,2484,UPI,Expense Record 12
2026-01-13,Entertainment,373,Debit Card,Expense Record 13
2026-01-14,Education,762,Debit Card,Expense Record 14
2026-01-15,Shopping,5399,Debit Card,Expense Record 15
2026-01-16,Entertainment,1734,UPI,Expense Record 16
2026-01-17,Education,1901,Cash,Expense Record 17
2026-01-18,Bills,4091,UPI,Expense Record 18
2026-01-19,Shopping,4588,Credit Card,Expense Record 19
2026-01-20,Healthcare,1562,Credit Card,Expense Record 20
2026-01-21,Food,814,Cash,Expense Record 21
2026-01-22,Transport,4380,Debit Card,Expense Record 22
2026-01-23,Shopping,1600,Credit Card,Expense Record 23
2026-01-24,Entertainment,2519,Credit Card,Expense Record 24
2026-01-25,Entertainment,3487,Debit Card,Expense Record 25
2026-01-26,Education,2365,UPI,Expense Record 26
2026-01-27,Transport,1435,UPI,Expense Record 27
2026-01-28,Bills,531,Debit Card,Expense Record 28
2026-01-29,Food,5050,UPI,Expense Record 29
2026-01-30,Transport,404,Credit Card,Expense Record 30
2026-01-31,Shopping,3042,UPI,Expense Record 31
2026-02-01,Education,3918,Cash,Expense Record 32
2026-02-02,Transport,1844,UPI,Expense Record 33
2026-02-03,Transport,750,Debit Card,Expense Record 34
2026-02-04,Transport,5071,Credit Card,Expense Record 35
2026-02-05,Bills,4292,Debit Card,Expense Record 36
2026-02-06,Entertainment,485,Cash,Expense Record 37
2026-02-07,Food,2729,Cash,Expense Record 38
2026-02-08,Bills,1325,Debit Card,Expense Record 39
2026-02-09,Entertainment,1692,Credit Card,Expense Record 40
2026-02-10,Bills,1409,UPI,Expense Record 41
2026-02-11,Shopping,3004,Credit Card,Expense Record 42
2026-02-12,Entertainment,3411,UPI,Expense Record 43
